eV,flux
 569.623291,             8.805859
 570.566956,             9.042229
 571.513733,             9.303449
 572.463745,             9.499169
 573.416870,             9.531016
 574.373169,             9.534188
 575.332703,             9.285497
 576.295410,             9.070888
 577.261353,             8.830469
 578.230591,             8.739766
 579.203003,             8.758723
 580.178711,             8.920659
 581.157776,             8.858498
 582.140076,             8.961856
 583.125793,             9.077821
 584.114746,             9.035510
 585.107117,             9.094189
 586.102844,             9.209663
 587.101990,             9.200837
 588.104492,             8.921401
 589.110535,             9.330670
 590.119934,             9.443160
 591.132812,             9.541757
 592.149170,             9.456751
 593.169006,             9.588831
 594.192444,             9.563287
 595.219421,             6.348344
 596.249878,             0.636387
 597.283936,             0.616400
 598.321533,             6.081243
 599.362793,             6.493030
 600.407776,             6.600826
 601.456238,             6.800803
 602.508484,             6.833462
 603.564392,             6.860226
 604.623962,             6.868976
 605.687378,             6.969032
 606.754456,             7.033085
 607.825256,             7.023223
 608.899902,             7.023690
 609.978333,             6.891242
 611.060547,             7.068829
 612.146729,             7.189047
 613.236694,             7.205849
 614.330627,             7.429099
 615.428345,             7.424497
 616.530029,             7.466641
 617.635803,             7.368444
 618.745361,             9.348996
 619.859009,            10.927633
 620.976624,            11.004756
 622.098267,            11.073030
 623.224121,            10.918437
 624.353882,            11.115794
 625.487854,            11.241124
 626.625916,            11.375664
 627.768066,            11.486628
 628.914429,            11.521802
 630.065002,            11.375671
 631.219788,            11.522567
 632.378845,            11.630810
 633.542114,            11.775578
 634.709717,            11.869550
 635.881653,            11.389793
 637.057800,            11.957373
 638.238403,            12.169387
 639.423401,            12.195016
 640.612793,            12.229288
 641.806519,            12.508832
 643.004822,            12.544346
 644.207581,            12.842904
 645.414856,            12.974073
 646.626709,            13.180265
 647.843018,            13.348414
 649.063965,            13.923544
 650.289490,            14.553848
 651.519653,            15.466921
 652.754578,            17.105867
 653.994080,            17.367949
 655.238342,            15.884646
 656.487366,            15.359479
 657.741089,            14.837511
 658.999695,            14.602111
 660.263062,            14.465691
 661.531311,            14.458320
 662.804443,            12.391227
 664.082458,            14.028805
 665.365356,            14.492069
 666.653381,            14.574232
 667.946350,            14.733825
 669.244324,            14.677843
 670.547302,            14.793027
 671.855408,            14.798892
 673.168640,            14.887131
 674.487000,            15.064180
 675.810486,            15.118414
 677.139221,            15.196225
 678.473206,            15.309694
 679.812439,            15.400367
 681.157043,            15.241483
