# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii, start time mjd,   end time mjd
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,   53323.920787,   53324.139699
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,   53329.905278,   53330.124144
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,   53335.889687,   53336.135162
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,   53341.874225,   53342.004028
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,   55167.155752,   55167.537014
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,   57541.912604,   57543.482049
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,   53284.035451,   53284.246343
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,   53286.029919,   53286.241019
# Cygnus X-1     ,    500880201,       299.59,      35.2016,       71.335,      3.06681,   54574.496273,   54575.184213
# Cygnus X-1     ,    610000401,       299.59,      35.2016,       71.335,      3.06681,   54967.981169,   54968.269838
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,   57535.930486,   57537.624931
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,   57537.924792,   57539.600718
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,   57539.916574,   57541.599456
#
Total observation time: 761607.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A), error in 1/(s cm^2 A)
           709.210571,            17.482000,             0.315308,              0.000000
           707.753174,            17.518000,             0.343793,              0.000000
           706.301636,            17.554001,             0.393096,              0.000000
           704.856140,            17.590000,             0.448394,              0.000000
           703.416504,            17.625999,             0.444182,              0.000000
           701.982727,            17.662001,             0.437768,              0.000000
           700.554810,            17.698000,             0.437516,              0.000000
           699.132751,            17.733999,             0.428027,              0.000000
           697.716309,            17.770000,             0.414544,              0.000000
           696.305725,            17.806000,             0.413224,              0.000000
           694.900818,            17.841999,             0.406431,              0.000000
           693.501526,            17.878000,             0.403520,              0.000000
           692.107849,            17.914000,             0.399400,              0.000000
           690.719727,            17.950001,             0.392930,              0.000000
           689.337219,            17.986000,             0.385176,              0.000000
           687.960266,            18.021999,             0.376926,              0.000000
           686.588745,            18.058001,             0.374103,              0.000000
           685.222717,            18.094000,             0.368050,              0.000000
           683.862122,            18.129999,             0.365133,              0.000000
           682.506897,            18.166000,             0.359133,              0.000000
           681.157043,            18.202000,             0.348996,              0.000000
           679.812439,            18.238001,             0.345908,              0.000000
           678.473206,            18.274000,             0.337121,              0.000000
           677.139221,            18.309999,             0.328064,              0.000000
           675.810486,            18.346001,             0.314762,              0.000000
           674.487000,            18.382000,             0.320097,              0.000000
           673.168640,            18.417999,             0.316464,              0.000000
           671.855408,            18.454000,             0.312406,              0.000000
           670.547302,            18.490000,             0.304352,              0.000000
           669.244324,            18.525999,             0.307124,              0.000000
           667.946350,            18.562000,             0.300352,              0.000000
           666.653381,            18.598000,             0.287516,              0.000000
           665.365356,            18.634001,             0.283632,              0.000000
           664.082458,            18.670000,             0.260236,              0.000000
           662.804443,            18.705999,             0.263937,              0.000000
           661.531311,            18.742001,             0.271906,              0.000000
           660.263062,            18.778000,             0.265468,              0.000000
           658.999695,            18.813999,             0.266636,              0.000000
           657.741089,            18.850000,             0.258481,              0.000000
           656.487366,            18.886000,             0.259462,              0.000000
           655.238342,            18.922001,             0.245591,              0.000000
           653.994080,            18.958000,             0.254518,              0.000000
           652.754578,            18.993999,             0.249934,              0.000000
           651.519653,            19.030001,             0.237079,              0.000000
           650.289490,            19.066000,             0.224401,              0.000000
           649.063965,            19.101999,             0.217714,              0.000000
           647.843018,            19.138000,             0.211207,              0.000000
           646.626709,            19.174000,             0.209054,              0.000000
           645.414856,            19.209999,             0.205056,              0.000000
           644.207581,            19.246000,             0.202511,              0.000000
           643.004822,            19.282000,             0.192926,              0.000000
           641.806519,            19.318001,             0.192230,              0.000000
           640.612793,            19.354000,             0.188091,              0.000000
           639.423401,            19.389999,             0.182479,              0.000000
           638.238403,            19.426001,             0.181265,              0.000000
           637.057800,            19.462000,             0.177325,              0.000000
           635.881653,            19.497999,             0.170900,              0.000000
           634.709717,            19.534000,             0.169195,              0.000000
           633.542114,            19.570000,             0.165147,              0.000000
           632.378845,            19.606001,             0.163231,              0.000000
           631.219788,            19.642000,             0.154605,              0.000000
           630.065002,            19.677999,             0.149833,              0.000000
           628.914429,            19.714001,             0.153659,              0.000000
